#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.20e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.20e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.34288500|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.61642444|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.21361503|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.91108056|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.40835458|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33247141|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.81833738|  PASSED  
         diehard_dna|   0|   2097152|     100|0.36793910|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.72413833|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.64376314|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.91279071|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.92277401|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.42527017|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.08442897|  PASSED  
        diehard_sums|   0|       100|     100|0.05026075|  PASSED  
        diehard_runs|   0|    100000|     100|0.29734712|  PASSED  
        diehard_runs|   0|    100000|     100|0.21141937|  PASSED  
       diehard_craps|   0|    200000|     100|0.32396888|  PASSED  
       diehard_craps|   0|    200000|     100|0.93509351|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.45793164|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.81036698|  PASSED  
         sts_monobit|   1|    100000|     100|0.66871981|  PASSED  
            sts_runs|   2|    100000|     100|0.83945361|  PASSED  
          sts_serial|   1|    100000|     100|0.98767544|  PASSED  
          sts_serial|   2|    100000|     100|0.99263339|  PASSED  
          sts_serial|   3|    100000|     100|0.47039343|  PASSED  
          sts_serial|   3|    100000|     100|0.89935413|  PASSED  
          sts_serial|   4|    100000|     100|0.49662381|  PASSED  
          sts_serial|   4|    100000|     100|0.23530344|  PASSED  
          sts_serial|   5|    100000|     100|0.32693170|  PASSED  
          sts_serial|   5|    100000|     100|0.03383439|  PASSED  
          sts_serial|   6|    100000|     100|0.60590769|  PASSED  
          sts_serial|   6|    100000|     100|0.81273679|  PASSED  
          sts_serial|   7|    100000|     100|0.85706535|  PASSED  
